CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,predicted_clv_6m,predicted_purchases_90d,prob_alive
12384,29,2,585.27,4,2,3,423,New Customers,717.3878729880737,1.0337374715788081,0.934473031136455
12386,338,2,401.9,1,2,2,122,Lost,67.87639042846254,0.1974114522839435,0.3851344667047092
12388,16,6,2780.66,4,4,5,445,Champions,1341.3391396910458,1.424253083304534,0.9980003576025698
12390,80,1,549.84,2,1,3,213,Needs Attention,,,
12391,22,1,460.89,4,1,2,412,New Customers,,,
12393,72,4,1582.6000000000001,3,4,4,344,Loyal Customers,747.922354064252,0.9734030414245192,0.9928474933136917
12394,64,2,1272.48,3,2,4,324,Potential Loyalists,1467.0195959194175,0.6993360568618411,0.919115703512564
12395,19,12,3018.63,4,5,5,455,Champions,1189.2856785576664,2.261053615306817,0.9988416620406809
12397,36,2,2409.9,3,2,5,325,Potential Loyalists,2710.235064237358,0.9650029045271351,0.9300876034032434
12398,46,1,1635.6599999999999,3,1,4,314,Potential Loyalists,,,
12399,119,4,1108.65,2,4,4,244,At Risk,650.786481748645,1.1548988177926995,0.9799315532599602
12401,303,1,84.3,1,1,1,111,Lost,,,
12402,323,1,225.6,1,1,1,111,Lost,,,
12403,50,1,427.7,3,1,2,312,Needs Attention,,,
12405,149,1,1710.39,2,1,4,214,Needs Attention,,,
12406,22,2,3415.3,4,2,5,425,New Customers,3399.0489965309025,0.8068484723795997,0.9431820084087003
12407,50,5,1708.1200000000001,3,4,4,344,Loyal Customers,1061.9200662056724,1.4159624995360653,0.9952441689465915
12408,33,5,2888.55,4,4,5,445,Champions,1652.3451443541844,1.1763448019736482,0.9952873559207212
12409,79,3,11072.67,2,3,5,235,At Risk,6014.001884773777,1.1670552378366592,0.9810058062640914
12410,309,2,693.3299999999999,1,2,3,123,Needs Attention,,,
12412,75,3,1226.88,2,3,4,234,At Risk,928.7415092934656,1.2256758890964563,0.9811038854715156
12413,67,3,758.1,3,3,3,333,Loyal Customers,224.4063096671632,0.7503242068104681,0.9896168827443407
12414,217,3,562.41,1,3,3,133,At Risk,322.35180490573157,0.7385301161417142,0.9125280746461165
12415,24,21,124914.53,4,5,5,455,Champions,53642.60662701817,3.493069008745518,0.9987997191490595
12417,3,9,3649.1,5,5,5,555,Champions,1601.11931772366,1.930130784208812,0.9990289803982864
12418,113,1,668.58,2,1,3,213,Needs Attention,,,
12420,64,1,600.39,3,1,3,313,Potential Loyalists,,,
12421,16,4,807.04,4,4,3,443,Loyal Customers,450.16962319481297,1.0079071199984984,0.9963960537668488
12422,96,3,803.5600000000001,2,3,3,233,At Risk,464.0139391782736,0.7706868525449014,0.9855565082315312
12423,1,8,1859.31,5,5,4,554,Champions,802.1192676242131,1.7445090653606974,0.9989414982686545
12424,163,2,1760.96,2,2,4,224,Needs Attention,,,
12425,78,1,777.2,2,1,3,213,Needs Attention,,,
12426,195,1,582.73,1,1,3,113,Needs Attention,,,
12427,22,3,825.8,4,3,3,433,Loyal Customers,388.46121938073276,0.6975988747046757,0.9932671778026493
12428,26,9,7956.46,4,5,5,455,Champions,1813.1846583616561,1.8287766240934409,0.9978591561331185
12429,9,4,3750.4,5,4,5,545,Champions,1532.3256448056295,0.9063344628718848,0.9966722690274266
12430,43,1,256.4,3,1,2,312,Needs Attention,,,
12431,36,15,6487.45,3,5,5,355,Loyal Customers,2615.098600130128,2.832055553526331,0.9983145443074031
12432,43,5,5059.32,3,4,5,345,Loyal Customers,2258.0669371650074,1.2218574095951091,0.9893607247164862
12433,1,7,13375.87,5,5,5,555,Champions,5873.1386540634685,1.2803096082103864,0.9984302395820293
12434,85,2,806.14,2,2,3,223,Needs Attention,745.5029874817999,0.607488388152185,0.9100263474227281
12435,80,2,7829.89,2,2,5,225,Needs Attention,5411.328630011677,0.5989009592528893,0.915075861819933
12436,100,1,509.01,2,1,3,213,Needs Attention,,,
12437,2,18,4951.41,5,5,5,555,Champions,2122.97919717498,3.331686261878203,0.9994866636939902
12438,14,2,2906.85,4,2,5,425,New Customers,4545.812831904152,0.9602906222648876,0.9460688460442251
12441,367,1,173.55,1,1,1,111,Lost,,,
12442,3,1,172.06,5,1,1,511,New Customers,,,
12444,21,5,5005.46,4,4,5,445,Champions,3046.3955439188057,1.9227804095560932,0.9966927817319892
12445,22,1,133.4,4,1,1,411,New Customers,,,
12446,58,1,1002.3100000000001,3,1,4,314,Potential Loyalists,,,
12447,243,1,476.49,1,1,2,112,Lost,,,
12448,44,1,449.45,3,1,2,312,Needs Attention,,,
12449,22,4,4067.29,4,4,5,445,Champions,3263.450045479385,1.4864259062033593,0.9955623150875706
12450,156,2,197.88,2,2,1,221,Lost,137.95097641208582,0.59080454196714,0.6653836437306696
12451,11,5,9035.52,5,4,5,545,Champions,3750.546662392166,1.2137909923951247,0.9976273219922599
12452,17,2,430.57,4,2,2,422,New Customers,,,
12453,134,1,707.09,2,1,3,213,Needs Attention,,,
12454,56,1,3528.34,3,1,5,315,Potential Loyalists,,,
12455,73,6,2466.86,2,4,5,245,At Risk,481.15888211016454,1.5283545214525653,0.9937633448935056
12456,44,3,3181.04,3,3,5,335,Loyal Customers,2214.737483928495,0.9321771274132938,0.9907050146424856
12457,66,7,2363.23,3,5,5,355,Loyal Customers,1161.0427163356853,2.063290723788634,0.9931006909518578
12458,71,2,947.4,3,2,4,324,Potential Loyalists,688.0656065591241,0.5765137105107259,0.9227473633182757
12461,94,2,826.88,2,2,3,223,Needs Attention,389.68298742153434,0.8166678753031307,0.853441262408617
12462,19,2,1189.59,4,2,4,424,New Customers,569.8160655522228,0.5637853438777849,0.9481446956929984
12463,53,4,1344.78,3,4,4,344,Loyal Customers,846.7348165214921,1.2412549428216475,0.9932466101841675
12464,10,8,1212.05,5,5,4,554,Champions,568.1431216242344,1.710722529586001,0.9984668687245916
12465,17,2,742.1899999999999,4,2,3,423,New Customers,608.9727102296894,0.8523643199145033,0.9453895225737395
12468,188,2,729.5400000000001,1,2,3,123,Needs Attention,557.2754232466868,0.463727916406283,0.8056312942319935
12471,2,30,19824.05,5,5,5,555,Champions,7310.700191747965,4.0804118711814334,0.9996075782464303
12472,32,7,6572.11,4,5,5,455,Champions,2436.3743105409458,1.4862448364960499,0.9978117532968983
12473,29,5,3938.5499999999997,4,4,5,445,Champions,3273.3142108693023,1.4644570463787725,0.9949970518204095
12474,17,18,7375.79,4,5,5,455,Champions,3284.413120093045,3.7753543000527525,0.9991102896697562
12475,54,1,723.38,3,1,3,313,Potential Loyalists,,,
12476,16,11,6816.42,4,5,5,455,Champions,3145.995108557976,2.111946813113368,0.9988574790396172
12477,23,6,13219.74,4,4,5,445,Champions,6588.625270347796,1.514801605003683,0.9977007877635327
12478,4,1,680.99,5,1,3,513,New Customers,,,
12479,11,1,527.2,5,1,3,513,New Customers,,,
12480,28,4,3281.63,4,4,5,445,Champions,1632.8114202795348,0.9671890841998405,0.9958528675671073
12481,23,10,5596.32,4,5,5,455,Champions,2613.2765219500643,1.6975690118211415,0.9983796315709927
12483,17,8,2484.98,4,5,5,455,Champions,988.9146462650218,1.8006147647884965,0.9985017944485015
12484,33,6,4541.72,4,4,5,445,Champions,1895.2782172060006,1.3899679163224952,0.997374010471337
12488,10,3,1298.66,5,3,4,534,Loyal Customers,1541.5970262382316,1.9459779109589452,0.9930347480152144
12489,336,1,334.93,1,1,2,112,Lost,,,
12490,5,10,5417.93,5,5,5,555,Champions,2267.291042033081,2.27369199668935,0.9990932543957668
12491,39,1,460.40000000000003,3,1,2,312,Needs Attention,,,
12492,63,2,263.21000000000004,3,2,2,322,Needs Attention,347.36004814686214,1.055676071767849,0.8820993945791671
12493,166,2,433.74,2,2,2,222,Lost,269.7483449934083,0.5617950412213719,0.6903341425176359
12494,16,7,1246.1000000000001,4,5,4,454,Champions,592.9169325520729,1.5001409778467427,0.9983691521856398
12497,82,1,1043.1,2,1,4,214,Needs Attention,,,
12498,21,3,403.70000000000005,4,3,2,432,Loyal Customers,554.6606023838261,1.4794639421544111,0.9325654330490254
12500,23,11,4257.82,4,5,5,455,Champions,1929.0344673111738,2.2509925399473008,0.9985564631726103
12501,337,1,2169.39,1,1,5,115,Needs Attention,,,
12502,96,5,3723.87,2,4,5,245,At Risk,1963.762820434741,1.250484934060308,0.9905737659464449
12504,18,2,482.04999999999995,4,2,2,422,New Customers,153.68699552680644,1.808640755330627,0.9311782588461766
12506,233,1,73.5,1,1,1,111,Lost,,,
12507,134,3,1304.81,2,3,4,234,At Risk,742.0539335214049,0.8128970796603077,0.9743135447731963
12508,26,2,398.27,4,2,2,422,New Customers,532.1553092003486,1.793616027429205,0.915769189158978
12509,284,1,176.5,1,1,1,111,Lost,,,
12510,143,2,982.5699999999999,2,2,4,224,Needs Attention,352.2009140075627,0.49228287251464775,0.874169892187385
12512,66,2,138.03,3,2,1,321,Needs Attention,,,
12513,113,1,612.29,2,1,3,213,Needs Attention,,,
12514,267,1,1017.68,1,1,4,114,Needs Attention,,,
12515,353,1,383.7,1,1,2,112,Lost,,,
12516,78,2,1312.06,2,2,4,224,Needs Attention,1330.4103339709836,0.7750530335420732,0.896077075518715
12517,28,5,2502.84,4,4,5,445,Champions,1747.644223579132,1.4698014109475763,0.9950780744181067
12518,1,5,2056.89,5,4,4,544,Champions,2199.953085785195,2.511633316178634,0.9979304380808379
12519,64,1,340.84,3,1,2,312,Needs Attention,,,
12520,79,5,2634.26,2,4,5,245,At Risk,1146.7695060788153,1.3761927749852316,0.9918637456132006
12521,143,1,599.68,2,1,3,213,Needs Attention,,,
12522,39,2,192.72,3,2,1,321,Needs Attention,372.3533274965956,1.4865857187029539,0.8989072141356026
12523,19,11,1789.77,4,5,4,454,Champions,822.4922899311507,2.475630223335563,0.9987853821282362
12524,9,8,4485.72,5,5,5,555,Champions,2145.761505215314,1.8265522416150568,0.99872663946723
12526,1,3,1316.66,5,3,4,534,Loyal Customers,1479.0356591827808,1.7475843960739594,0.9943020711571523
12527,82,3,348.71000000000004,2,3,2,232,At Risk,179.31003680078447,0.7704468224177337,0.9876270596207002
12528,9,6,1933.48,5,5,4,554,Champions,851.6997385223191,1.4740829930421526,0.9981775676370964
12530,60,4,1662.28,3,4,4,344,Loyal Customers,843.9282568648463,0.96537797384905,0.993988082835994
12531,15,1,125.22,4,1,1,411,New Customers,,,
12532,30,1,349.83000000000004,4,1,2,412,New Customers,,,
12534,131,1,1089.18,2,1,4,214,Needs Attention,,,
12535,92,2,716.35,2,2,3,223,Needs Attention,607.8143641188628,0.7441472172647627,0.879426775408666
12536,43,3,12601.830000000002,3,3,5,335,Loyal Customers,27309.81139746877,1.4006806582696631,0.8948856199956303
12538,29,1,363.95,4,1,2,412,New Customers,,,
12539,22,4,5568.35,4,4,5,445,Champions,2568.8905432666897,0.9743053761166428,0.996120905911259
12540,20,17,13400.24,4,5,5,455,Champions,5359.535142500122,3.507506339507071,0.9990845372187783
12541,30,3,981.18,4,3,4,434,Loyal Customers,618.0015498910963,0.8681977712245125,0.992369421626016
12544,36,1,372.7,3,1,2,312,Needs Attention,,,
12545,75,2,1000.39,2,2,4,224,Needs Attention,540.7256662984735,0.6137027758363583,0.9167132395562241
12546,47,2,1161.5,3,2,4,324,Potential Loyalists,1191.4429771336906,1.2562285820169876,0.8992907426075096
12547,198,2,207.79999999999998,1,2,1,121,Lost,57.07124059200641,0.4677978450620988,0.7407452696045106
12548,166,1,95.19999999999999,2,1,1,211,Lost,,,
12550,79,1,964.83,2,1,4,214,Needs Attention,,,
12551,358,1,168.0,1,1,1,111,Lost,,,
12552,39,2,437.82,3,2,2,322,Needs Attention,467.0975255331115,1.613421717736618,0.8927889405911938
12553,8,10,3692.28,5,5,5,555,Champions,1490.214442508868,2.2735267277157005,0.9990206328107085
12556,50,2,603.71,3,2,3,323,Potential Loyalists,613.9695780741213,0.8898991255768867,0.9185594982631261
12557,16,5,11990.960000000001,4,4,5,445,Champions,6260.360253006673,1.0899585341036073,0.997478687985605
12558,8,1,269.96,5,1,2,512,New Customers,,,
12559,311,2,561.71,1,2,3,123,Needs Attention,36.07917268877223,0.1942029871386999,0.33987680798295594
12560,5,3,2134.01,5,3,5,535,Loyal Customers,1234.3529664283903,1.3799314050594258,0.9938417597615635
12561,303,1,238.85,1,1,1,111,Lost,,,
12562,8,7,3781.7400000000002,5,5,5,555,Champions,2623.3382648905563,2.369444601805275,0.9984340344124203
12564,261,1,456.9,1,1,2,112,Lost,,,
12565,289,1,145.92,1,1,1,111,Lost,,,
12566,86,1,351.65,2,1,2,212,Lost,,,
12567,23,10,9401.28,4,5,5,455,Champions,3652.7026144666197,1.8787789195060471,0.9985419273005924
12569,2,32,4124.69,5,5,5,555,Champions,2055.81471594541,6.994029252322849,0.9996852827973718
12571,40,2,519.61,3,2,3,323,Potential Loyalists,658.2043314437643,1.022012477816473,0.9238739276286643
12572,9,2,1020.42,5,2,4,524,New Customers,1801.1922884970757,1.5655358821850243,0.9466467226068253
12573,227,1,160.54000000000002,1,1,1,111,Lost,,,
12574,316,1,218.45,1,1,1,111,Lost,,,
12576,36,5,1315.83,3,4,4,344,Loyal Customers,677.069236215575,1.2739437070243367,0.9965196918122058
12577,35,3,657.8,3,3,3,333,Loyal Customers,536.1609057365027,0.4911889635819271,0.9435813850081429
12578,21,2,2794.51,4,2,5,425,New Customers,1470.450883987323,0.5272785869764598,0.9475777958544934
12579,78,1,440.42,2,1,2,212,Lost,,,
12580,247,1,415.7,1,1,2,112,Lost,,,
12581,40,1,197.71,3,1,1,311,Needs Attention,,,
12582,239,2,511.36,1,2,3,123,Needs Attention,273.47094039815767,0.3765016807611819,0.6090501395459386
12583,3,15,7281.38,5,5,5,555,Champions,2720.4788051079145,3.0295436906107587,0.9994708050169165
12584,4,9,2338.15,5,5,5,555,Champions,1080.5473045506785,2.331530083480201,0.9990157796164787
12585,234,2,2040.1,1,2,4,124,Needs Attention,720.6825521024916,0.3936252090815923,0.7427057190885809
12586,17,1,196.94000000000003,4,1,1,411,New Customers,,,
12587,8,1,144.0,5,1,1,511,New Customers,,,
12588,39,1,214.89999999999998,3,1,1,311,Needs Attention,,,
12589,29,2,646.68,4,2,3,423,New Customers,1136.201274534578,0.9346751901894953,0.9368129435965274
12590,211,2,9864.26,1,2,5,125,Needs Attention,,,
12591,317,1,452.84999999999997,1,1,2,112,Lost,,,
12592,92,2,437.6,2,2,2,222,Lost,336.62729188262915,0.6857766743915692,0.8895728029061754
12593,109,3,418.09999999999997,2,3,2,232,At Risk,201.11593530990964,1.0229929559454483,0.9735688227526135
12594,38,10,3338.2200000000003,3,5,5,355,Loyal Customers,1548.6999948792961,2.0913385583389883,0.9977558893906477
12596,51,2,618.27,3,2,3,323,Potential Loyalists,540.1600631604258,0.6547601859458997,0.9304793138693206
12597,19,4,3811.22,4,4,5,445,Champions,2595.8124518417867,1.1510210346305674,0.9961008586703487
12598,10,8,3023.08,5,5,5,555,Champions,1395.0328187827095,1.8250224841902472,0.9984787316371768
12599,29,7,1032.58,4,5,4,454,Champions,478.8384121224969,1.7311593382799777,0.9977410811507293
12600,29,10,2599.04,4,5,5,455,Champions,1141.6577444096931,2.0653129226066533,0.998449496553021
12601,190,5,577.0600000000001,1,4,3,143,At Risk,248.66508378095077,1.128385676781674,0.9453406291342348
12602,59,1,153.12,3,1,1,311,Needs Attention,,,
12603,22,1,739.1999999999999,4,1,3,413,New Customers,,,
12604,79,2,254.18,2,2,2,222,Lost,113.13689552401013,0.6084626357539195,0.9140857393537825
12607,60,1,1579.51,3,1,4,314,Potential Loyalists,,,
12609,78,3,1126.85,2,3,4,234,At Risk,699.1709542874833,0.783823988901445,0.9878435874241046
12610,23,5,2099.54,4,4,5,445,Champions,1355.0641393012854,2.321820406701226,0.9962280715140654
12611,52,1,1193.32,3,1,4,314,Potential Loyalists,,,
12612,74,1,704.0400000000001,2,1,3,213,Needs Attention,,,
12613,57,5,3344.38,3,4,5,345,Loyal Customers,2432.8165380574565,0.9097111494494972,0.9892876316779605
12614,278,1,315.6,1,1,2,112,Lost,,,
12615,2,4,2291.19,5,4,5,545,Champions,1812.9963970023566,1.5978374536001134,0.9968533165173352
12616,95,2,713.3,2,2,3,223,Needs Attention,593.280795824053,0.5485592127950538,0.9084749899916534
12617,29,1,355.53,4,1,2,412,New Customers,,,
12618,22,1,177.31,4,1,1,411,New Customers,,,
12619,16,9,3641.24,4,5,5,455,Champions,2133.042151393165,2.5137981209362574,0.9985605888896109
12620,15,3,1339.41,4,3,4,434,Loyal Customers,904.1483058241247,1.0932706802083916,0.9932146392580417
12621,2,20,13689.67,5,5,5,555,Champions,5614.5252372299765,3.47831734367721,0.9995537469748661
12622,232,1,180.1,1,1,1,111,Lost,,,
12623,276,1,305.1,1,1,2,112,Lost,,,
12624,106,2,641.13,2,2,3,223,Needs Attention,598.6684931691942,0.7408628693808934,0.8470494072505348
12625,212,2,2683.82,1,2,5,125,Needs Attention,985.4775017857116,0.432972912867099,0.7577507109262543
12626,23,9,6620.48,4,5,5,455,Champions,2827.4853949348253,2.0726384565422244,0.9984292977301062
12627,11,7,4478.53,5,5,5,555,Champions,3650.320512793232,2.965777621053451,0.99822797867509
12628,4,3,786.46,5,3,3,533,Loyal Customers,1007.2403788757601,2.086199834935031,0.9937388238834521
12630,10,2,1270.88,5,2,4,524,New Customers,2221.7904898896904,1.6567165541898443,0.9450928695629942
12631,57,1,640.5,3,1,3,313,Potential Loyalists,,,
12633,59,4,2163.98,3,4,5,345,Loyal Customers,860.7305503760713,1.0901772913185956,0.9934727610709261
12635,90,2,1689.18,2,2,4,224,Needs Attention,1954.5609301454374,0.8265778016861446,0.8637974186117204
12637,67,8,6021.9,3,5,5,355,Loyal Customers,2462.334343437102,1.647293539199674,0.9951604324497105
12638,33,1,671.69,4,1,3,413,New Customers,,,
12639,239,1,486.1,1,1,2,112,Lost,,,
12640,24,3,1174.58,4,3,4,434,Loyal Customers,819.5065976679658,1.8729227805775746,0.9904482766166809
12641,115,1,185.9,2,1,1,211,Lost,,,
12642,25,3,1013.26,4,3,4,434,Loyal Customers,1119.371427272739,1.6265972197237535,0.990742091147431
12643,128,6,3344.64,2,5,5,255,At Risk,1469.8361685246664,1.1751657124404002,0.98453207692598
12644,130,1,477.91,2,1,2,212,Lost,,,
12645,34,4,1775.18,3,4,4,344,Loyal Customers,977.667166686763,1.014457225760988,0.9955212298767065
12646,5,2,1346.97,5,2,4,524,New Customers,2310.522928723738,1.5942282142645596,0.950359211639896
12647,22,12,3722.82,4,5,5,455,Champions,1497.0579625549005,2.2706774842857156,0.9987433509605247
12648,155,1,318.05,2,1,2,212,Lost,,,
12649,107,3,623.51,2,3,3,233,At Risk,397.0834184992474,0.6719216093515739,0.8687289858321624
12650,3,1,314.44,5,1,2,512,New Customers,,,
12651,335,1,114.0,1,1,1,111,Lost,,,
12652,331,1,919.98,1,1,3,113,Needs Attention,,,
12653,149,2,2209.85,2,2,5,225,Needs Attention,1739.362388782305,0.5172620068933398,0.8544331913593746
12654,11,5,601.98,5,4,3,543,Loyal Customers,321.43672316785853,1.0708757939892528,0.9965740834834814
12656,17,5,4051.17,4,4,5,445,Champions,2757.886381383526,1.5547937732240107,0.9972002356448448
12657,11,4,1643.18,5,4,4,544,Champions,2078.5523104372255,1.9107185323660227,0.9927388689643762
12658,19,1,686.05,4,1,3,413,New Customers,,,
12659,30,1,91.68,4,1,1,411,New Customers,,,
12660,11,1,245.1,5,1,1,511,New Customers,,,
12662,1,11,3849.78,5,5,5,555,Champions,1617.5188497436598,2.0579447410514162,0.9992015478778883
12664,8,9,4881.88,5,5,5,555,Champions,2182.4155335521964,2.093739443973304,0.9989013269726404
12665,325,1,63.0,1,1,1,111,Lost,,,
12667,58,1,620.13,3,1,3,313,Potential Loyalists,,,
12668,12,4,3807.15,5,4,5,545,Champions,2116.7883855156874,0.9266136391801783,0.9965942688700961
12669,151,3,2744.0299999999997,2,3,5,235,At Risk,1527.823299527444,0.8957218893846175,0.9574893498892105
12670,10,5,2996.05,5,4,5,545,Champions,1863.9914332593553,1.5601360113006875,0.9975312868379644
12672,330,1,225.89999999999998,1,1,1,111,Lost,,,
12673,5,2,610.52,5,2,3,523,New Customers,493.3226413310027,0.5350608948847514,0.9524189705280168
12674,39,4,1970.6,3,4,4,344,Loyal Customers,1313.3164616048286,1.3846908754335088,0.9943134127190831
12676,25,6,1331.39,4,5,4,454,Champions,488.0043678339941,1.476964347915181,0.9976424297902243
12678,42,12,17628.46,3,5,5,355,Loyal Customers,8356.324136552474,1.9448305646615043,0.9976342462485173
12679,59,4,1113.02,3,4,4,344,Loyal Customers,243.01206599889008,1.101793217920582,0.9934142373985386
12680,1,4,862.81,5,4,3,543,Loyal Customers,769.5853804179076,2.0303896941389423,0.9969636998838987
12681,15,22,13787.54,4,5,5,455,Champions,5303.0046581335455,4.052470656643352,0.9993199354357687
12682,4,31,12288.22,5,5,5,555,Champions,4813.201399748935,5.38445540932077,0.9996904068474335
12683,4,15,8476.57,5,5,5,555,Champions,3340.8193170733693,2.291705276377986,0.9992122356541455
12684,8,7,2283.63,5,5,5,555,Champions,1342.4287804186736,2.2523600523816047,0.9984900497473843
12685,28,6,2863.08,4,5,5,455,Champions,2991.0772001544,3.226631209185019,0.9953138520003073
12686,372,1,89.14,1,1,1,111,Lost,,,
12688,114,1,4873.8099999999995,2,1,5,215,Needs Attention,,,
12689,26,2,1247.61,4,2,4,424,New Customers,1749.059542299597,1.0085646905224543,0.9375847143139403
12690,206,1,389.01,1,1,2,112,Lost,,,
12691,28,6,1035.8,4,5,4,454,Champions,455.8072612139941,1.325001267735091,0.9975958560344921
12693,127,4,855.91,2,4,3,243,At Risk,474.4180744456033,0.9947813009960079,0.9834201416048641
12694,70,2,869.67,3,2,3,323,Potential Loyalists,787.2682597990628,0.7744080256446418,0.905260085330735
12695,7,4,582.1,5,4,3,543,Loyal Customers,466.3336083331817,1.3740329073507485,0.9966163377606012
12697,29,3,957.59,4,3,4,434,Loyal Customers,748.0728175915331,1.2385643182380364,0.9914205507668981
12700,8,4,4939.99,5,4,5,545,Champions,3558.08705316096,1.3515383519634054,0.9966224118983513
12701,80,2,797.71,2,2,3,223,Needs Attention,697.2977771954149,0.6407694832217911,0.9105971344840977
12702,20,1,219.0,4,1,1,411,New Customers,,,
12703,71,1,283.55,3,1,2,312,Needs Attention,,,
12704,7,8,2340.84,5,5,5,555,Champions,1759.2863840746925,2.63454516843886,0.9984431722640237
12705,15,9,6868.29,4,5,5,455,Champions,2940.9084925240654,1.7282822458539189,0.9985807338902278
12707,292,1,603.42,1,1,3,113,Needs Attention,,,
12708,30,10,2712.91,4,5,5,455,Champions,1146.3144728168154,2.0787390881044705,0.9984036576240295
12709,15,15,9736.52,4,5,5,455,Champions,3958.950491463679,3.0750930294156125,0.9991666630097524
12710,97,3,1149.02,2,3,4,234,At Risk,498.38225945600817,1.0857540085762847,0.9763332491032894
12712,29,13,4396.13,4,5,5,455,Champions,1828.2533719941762,2.6503560291306667,0.9986326940765162
12713,1,1,848.55,5,1,3,513,New Customers,,,
12714,9,5,4708.86,5,4,5,545,Champions,2473.7481290904593,1.3085602309603992,0.997637037730957
12715,106,1,353.86,2,1,2,212,Lost,,,
12716,4,2,1053.49,5,2,4,524,New Customers,885.6900280209028,0.9968359642065271,0.9522471406107176
12717,151,2,1030.98,2,2,4,224,Needs Attention,564.5705235494629,0.5668936464703226,0.8128794181417189
12718,71,1,238.25,3,1,1,311,Needs Attention,,,
12719,5,2,644.95,5,2,3,523,New Customers,1221.8443254887939,1.4294086311898355,0.9499167086452714
12720,3,25,5781.73,5,5,5,555,Champions,2189.543237288271,4.231988752691,0.999626822822088
12721,32,6,2656.13,4,5,5,455,Champions,1266.9517254432612,1.3337815396542052,0.9974709615555338
12722,85,4,997.63,2,4,4,244,At Risk,804.0207173099077,1.6845624886930155,0.9777168145950875
12723,4,5,725.07,5,4,3,543,Loyal Customers,941.3561680370102,2.073077518141204,0.9938888574576086
12724,5,4,1031.41,5,4,4,544,Champions,588.1257591831826,0.9772713194602825,0.9967930430888674
12725,371,1,427.8,1,1,2,112,Lost,,,
12726,28,7,2609.1,4,5,5,455,Champions,1235.9453464383896,1.5263084009172556,0.99793401376344
12727,11,7,3980.7,5,5,5,555,Champions,2007.2144314779541,1.445303032869775,0.9981527777798012
12728,71,4,836.33,3,4,3,343,Loyal Customers,391.0106375064227,0.9734938736183243,0.9929401399483267
12729,114,1,453.01,2,1,2,212,Lost,,,
12731,24,12,18895.91,4,5,5,455,Champions,8043.467793080136,2.295575131450268,0.9987008186182874
12732,180,1,236.26000000000002,1,1,1,111,Lost,,,
12733,234,1,383.95,1,1,2,112,Lost,,,
12734,353,1,110.39999999999999,1,1,1,111,Lost,,,
12735,315,2,779.5699999999999,1,2,3,123,Needs Attention,230.89756227147757,0.21250397718295053,0.3882487310182918
12736,333,1,234.0,1,1,1,111,Lost,,,
